      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2025-04-29 21:15:04,   6554,      29.83,           7,       0.14,      219.71,        0.23,       29.91,    6554,       0
2025-04-29 21:16:09,   8356,      29.01,           9,       0.21,      288.04,        0.31,       59.68,    8356,       0
2025-04-29 21:16:47,   8190,      29.60,           9,       0.32,      276.69,        0.30,       89.51,    8190,       0
2025-04-29 21:17:22,   8175,      29.70,           9,       0.43,      275.25,        0.30,      118.79,    8175,       0
2025-04-29 21:18:00,   8034,      29.78,           9,       0.55,      269.78,        0.30,      148.56,    8034,       0
2025-04-29 21:18:40,   7847,      29.21,           9,       0.65,      268.64,        0.31,      174.65,    7847,       0
2025-04-29 21:19:20,   7249,      29.34,           8,       0.74,      247.07,        0.27,      183.89,    7249,       0
2025-04-29 21:20:23,   5914,      29.62,          33,       1.05,      199.66,        1.11,      209.95,    5914,     103
2025-04-29 21:21:05,   6301,      29.37,          30,       0.89,      214.54,        1.02,      191.55,    6301,      90
2025-04-29 21:21:51,   2455,      29.28,          79,       2.97,       83.85,        2.70,      248.62,    2455,     303
2025-04-29 21:22:30,   2408,      29.40,          76,       3.05,       81.90,        2.59,      250.08,    2408,     290
2025-04-29 21:23:11,   1588,      29.64,         105,       5.08,       53.58,        3.54,      271.97,    1588,     408
2025-04-29 21:23:48,   1772,      29.99,          88,       4.86,       59.09,        2.93,      287.03,    1772,     341
2025-04-29 21:24:25,   2997,      29.95,          72,       2.28,      100.07,        2.40,      228.08,    2997,     271
2025-04-29 21:26:22,   2783,      29.14,          74,       2.37,       95.50,        2.54,      226.34,    2783,     282
2025-04-29 21:27:04,   2101,      29.92,          91,       3.52,       70.22,        3.04,      246.93,    2101,     351
2025-04-29 21:27:48,   1547,      29.69,          73,       5.52,       52.11,        2.46,      287.59,    1547,     282
2025-04-29 21:28:27,   6726,      29.61,          33,       0.94,      227.15,        1.11,      212.66,    6726,      99
2025-04-29 21:29:02,   1091,      29.95,          77,       7.21,       36.43,        2.57,      262.59,    1091,     300
2025-04-29 21:29:46,   1702,      29.36,          81,       5.12,       57.97,        2.76,      296.62,    1702,     315
2025-04-29 21:30:24,    981,      29.96,          68,       7.58,       32.74,        2.27,      248.14,     981,     264
2025-04-29 21:31:20,   3065,      29.94,          74,       2.14,      102.37,        2.47,      218.90,    3065,     280
2025-04-29 21:31:59,   1514,      29.10,          85,       5.15,       52.03,        2.92,      267.94,    1514,     331
2025-04-29 21:32:36,   1285,      29.49,          84,       6.50,       43.57,        2.85,      283.11,    1285,     328
2025-04-29 21:33:43,    934,      29.18,          76,       9.38,       32.01,        2.60,      300.22,     934,     298
2025-04-29 21:36:08,   1140,      29.57,          82,       7.55,       38.55,        2.77,      291.03,    1140,     320
2025-04-29 21:36:46,   1263,      29.66,          70,       5.68,       42.58,        2.36,      241.78,    1263,     274
2025-04-29 21:37:25,   1043,      29.84,         100,       8.87,       34.95,        3.35,      309.95,    1043,     392
2025-04-29 21:38:04,   1010,      29.64,          75,       9.30,       34.08,        2.53,      316.77,    1010,     295
2025-04-29 21:38:57,    981,      29.17,          85,      10.05,       33.63,        2.91,      337.86,     981,     332
2025-04-29 21:39:42,   1542,      29.87,          93,       5.12,       51.62,        3.11,      264.18,    1542,     361
2025-04-29 21:40:17,    850,      29.33,          60,       6.42,       28.98,        2.05,      185.99,     850,     235
2025-04-29 21:40:54,    955,      29.64,          66,       6.93,       32.22,        2.23,      223.15,     955,     257
2025-04-29 21:41:33,   1044,      29.39,          63,       6.67,       35.52,        2.14,      237.09,    1044,     244
