Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2025-04-29 21:47:45,   9213,      29.08,          10,       0.09,      316.82,        0.34,       29.94,    9213,       0
2025-04-29 21:48:26,   7488,      29.09,           8,       0.35,      257.41,        0.28,       89.44,    7488,       0
2025-04-29 21:49:10,   7615,      29.64,           8,       0.50,      256.92,        0.27,      128.56,    7615,       0
2025-04-29 21:49:48,   7772,      29.73,           9,       0.66,      261.42,        0.30,      173.43,    7772,       0
2025-04-29 21:50:31,   7951,      29.56,          42,       0.68,      268.98,        1.42,      182.41,    7951,     129
2025-04-29 21:51:17,   5810,      29.62,          70,       1.04,      196.15,        2.36,      203.09,    5810,     250
2025-04-29 21:52:00,   4573,      29.91,          38,       1.35,      152.89,        1.27,      206.86,    4573,     132
2025-04-29 21:52:47,   5965,      29.17,          25,       0.94,      204.49,        0.86,      192.08,    5965,      74
2025-04-29 21:53:26,   2106,      29.43,          60,       3.33,       71.56,        2.04,      238.40,    2106,     228
2025-04-29 21:54:15,   1664,      29.99,          84,       4.25,       55.49,        2.80,      236.05,    1664,     325
2025-04-29 21:55:35,   1051,      30.00,          78,       7.82,       35.03,        2.60,      274.10,    1051,     303
2025-04-29 21:56:37,   1450,      29.29,          68,       4.54,       49.50,        2.32,      224.55,    1450,     262
2025-04-29 21:57:39,   1315,      29.93,          91,       6.90,       43.94,        3.04,      303.08,    1315,     355
2025-04-29 21:58:19,   2051,      29.70,          85,       3.97,       69.06,        2.86,      274.01,    2051,     329
2025-04-29 21:59:15,   1115,      29.95,          81,       7.41,       37.23,        2.70,      275.85,    1115,     316
2025-04-29 22:00:07,   1053,      29.94,          81,       7.43,       35.17,        2.71,      261.26,    1053,     318
2025-04-29 22:01:13,    991,      29.62,          92,       9.66,       33.46,        3.11,      323.27,     991,     360
